State,Recreational,Medical
Alabama,"Misdemeanor for first offense, subsequent offenses felony",Legal
Alaska,Legal,Legal
Arizona,Legal,Legal
Arkansas,Illegal,Legal
California,Legal,Legal
Colorado,Legal,Legal
Connecticut,Legal,Legal
Delaware,Decriminalized (civil infraction),Legal
Florida,Illegal,Legal
Georgia,"Illegal; decriminalized in the cities of Atlanta,[32] Clarkston,[33] Forest Park,[34] Savannah, South Fulton,[35] Statesboro,[36] unincorporated Fulton County,[37] and Macon–Bibb County.",CBD oil (less than 5% THC)
Hawaii,Decriminalized[41,Legal
Idaho,Misdemeanor (85 g (3.0 oz) or less),CBD oil (less than 0.1% THC)
Illinois,Legal,Legal
Indiana,"Misdemeanor (up to 6 months in jail, $1000 fine)",CBD oil (less than 0.3% THC) legal for any use
Iowa,Illegal,THC content of 4.5 grams per patient in a 90-day period
Kansas,Misdemeanor,CBD oil (containing 0% THC) legal for any use
Kentucky,Misdemeanor for less than 8 oz (230 g),CBD oil
Louisiana,Decriminalized up to 14 grams (0.49 ounces),Legal
Maine,Legal,Legal
Maryland,Decriminalized (Up to 10 g),Legal
Massachusetts,Legal,Legal
Michigan,Legal,Legal
Minnesota,Decriminalized. Legal for food and beverages containing under 5 mg of hemp-derived THC.,Legal
Mississippi,Decriminalized (first offense; 30 g (1.1 oz) or less),Legal
Missouri,Decriminalized,Legal
Montana,Legal,Legal
Nebraska,Decriminalized (first offense only),Illegal
Nevada,Legal,Legal
New Hampshire,Decriminalized up to 0.75 oz (21 g),Legal
New Jersey,Legal,Legal
New Mexico,Legal,Legal
New York,Legal,Legal
North Carolina,Decriminalized (42 g (1.5 oz) or less),CBD oil
North Dakota,Decriminalized (14 g (0.49 oz) or less),Legal
Ohio,Decriminalized (civil infraction),Legal
Oklahoma,Illegal,Legal
Oregon,Legal,Legal
Pennsylvania,"Illegal, Decriminalized In Philadelphia and Pittsburgh (<30g)[131",Legal
Rhode Island,Legal (1 oz (28 g)),Legal
South Carolina,Misdemeanor[135,Cannabis oil (less than 0.9% THC)
South Dakota,Misdemeanor,Legal
Tennessee,Misdemeanor (less than .5 oz (14 g); first or second offense only).,Cannabis oil (less than 0.9% THC)
Texas,"Illegal (De facto legal by refusal to arrest for less than 4 ounces in possession in Austin. ""cite and release"" in Houston, Dallas, San Antonio, Austin, and residents of Travis County.)",CBD oil (no more than 1% THC and no less than 10% CBD)
Utah,Misdemeanor,Legal
Vermont,Legal,Legal
Virginia,Legal,Legal (with commercial sales)
Washington,Legal,Legal
West Virginia,Misdemeanor,Legal
Wisconsin,"Misdemeanor on first offense, felony on subsequent offenses; decriminalized in the city of Milwaukee[167][168",CBD oil
Wyoming,Misdemeanor,CBD oil
