Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2015,2015 Annual,"Smoking - $25-$49,999",Alabama,40.0,22.7,1.09,25.9,19.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Alaska,46.0,24.7,1.74,29.1,20.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Arizona,21.0,19.1,-0.06,21.7,16.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Arkansas,47.0,24.8,1.77,28.9,20.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",California,3.0,15.0,-1.38,17.5,12.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Colorado,19.0,19.0,-0.1,21.2,16.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Connecticut,31.0,20.3,0.32,23.8,16.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Delaware,43.0,23.2,1.26,27.7,18.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Florida,18.0,18.9,-0.13,21.5,16.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Georgia,13.0,18.2,-0.35,21.4,15.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Hawaii,2.0,13.9,-1.74,16.4,11.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Idaho,12.0,18.0,-0.42,21.2,14.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Illinois,5.0,16.4,-0.93,19.6,13.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Indiana,43.0,23.2,1.26,25.6,20.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Iowa,23.0,19.4,0.03,21.7,17.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Kansas,21.0,19.1,-0.06,20.8,17.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Kentucky,47.0,24.8,1.77,27.9,21.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Louisiana,50.0,26.0,2.0,29.3,22.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Maine,15.0,18.6,-0.23,21.1,16.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Maryland,10.0,17.8,-0.48,21.2,14.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Massachusetts,27.0,19.8,0.16,22.4,17.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Michigan,33.0,21.8,0.8,24.4,19.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Minnesota,10.0,17.8,-0.48,19.4,16.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Mississippi,14.0,18.5,-0.26,22.3,14.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Missouri,41.0,22.9,1.16,26.1,19.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Montana,26.0,19.7,0.13,22.6,16.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Nebraska,32.0,20.4,0.35,22.3,18.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Nevada,29.0,20.2,0.29,25.0,15.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",New Hampshire,23.0,19.4,0.03,22.6,16.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",New Jersey,8.0,17.5,-0.58,20.1,15.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",New Mexico,35.0,22.2,0.93,25.7,18.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",New York,4.0,15.9,-1.09,18.5,13.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",North Carolina,35.0,22.2,0.93,25.0,19.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",North Dakota,42.0,23.1,1.22,26.6,19.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Ohio,39.0,22.6,1.06,25.5,19.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Oklahoma,28.0,20.1,0.26,22.6,17.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Oregon,7.0,17.4,-0.61,20.5,14.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Pennsylvania,37.0,22.3,0.97,24.8,19.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Rhode Island,9.0,17.6,-0.55,20.8,14.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",South Carolina,45.0,24.0,1.51,26.7,21.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",South Dakota,15.0,18.6,-0.23,21.9,15.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Tennessee,38.0,22.5,1.03,26.2,18.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Texas,6.0,17.1,-0.71,19.6,14.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Utah,1.0,10.3,-2.0,11.7,8.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Vermont,19.0,19.0,-0.1,21.5,16.5,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Virginia,33.0,21.8,0.8,24.7,18.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Washington,15.0,18.6,-0.23,21.2,16.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",West Virginia,49.0,25.3,1.93,28.2,22.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Wisconsin,29.0,20.2,0.29,23.1,17.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",Wyoming,25.0,19.5,0.06,23.4,15.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",United States,,19.3,,19.9,18.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $25-$49,999",District of Columbia,,19.3,,25.4,13.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Alabama,22.0,15.2,-0.07,18.2,12.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Alaska,46.0,18.5,1.13,22.5,14.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Arizona,20.0,14.8,-0.22,17.5,12.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Arkansas,33.0,16.7,0.47,21.5,11.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",California,9.0,12.7,-0.99,15.5,9.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Colorado,12.0,13.2,-0.8,15.2,11.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Connecticut,13.0,13.7,-0.62,16.9,10.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Delaware,16.0,14.0,-0.51,18.4,9.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Florida,27.0,15.6,0.07,18.7,12.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Georgia,41.0,18.0,0.95,22.1,13.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Hawaii,17.0,14.2,-0.44,17.2,11.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Idaho,2.0,11.1,-1.57,14.4,7.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Illinois,29.0,15.8,0.15,19.3,12.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Indiana,42.0,18.1,0.99,20.9,15.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Iowa,35.0,17.2,0.66,19.9,14.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Kansas,11.0,13.1,-0.84,15.0,11.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Kentucky,25.0,15.3,-0.04,18.2,12.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Louisiana,49.0,19.2,1.39,22.8,15.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Maine,27.0,15.6,0.07,18.4,12.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Maryland,42.0,18.1,0.99,22.1,14.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Massachusetts,8.0,12.2,-1.17,14.6,9.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Michigan,47.0,18.7,1.21,21.9,15.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Minnesota,34.0,16.8,0.51,18.7,14.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Mississippi,44.0,18.2,1.02,23.2,13.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Missouri,36.0,17.4,0.73,21.3,13.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Montana,6.0,11.8,-1.32,14.7,9.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Nebraska,10.0,13.0,-0.88,14.9,11.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Nevada,5.0,11.4,-1.46,15.3,7.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",New Hampshire,19.0,14.4,-0.37,17.9,10.9,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",New Jersey,30.0,15.9,0.18,19.1,12.8,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",New Mexico,31.0,16.2,0.29,20.1,12.3,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",New York,6.0,11.8,-1.32,14.9,8.7,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",North Carolina,37.0,17.5,0.77,20.9,14.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",North Dakota,40.0,17.9,0.91,21.7,14.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Ohio,22.0,15.2,-0.07,18.3,12.2,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Oklahoma,37.0,17.5,0.77,20.6,14.4,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Oregon,4.0,11.3,-1.5,14.7,8.0,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Pennsylvania,31.0,16.2,0.29,18.9,13.6,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",Rhode Island,21.0,14.9,-0.18,18.8,11.1,"CDC, Behavioral Risk Factor Surveillance System",2014
2015,2015 Annual,"Smoking - $50-$74,999",South Carolina,17.0,14.2,-0.44,16.8,11.7,"CDC, Behavioral Risk Factor Surveillance System",2014
